,charge transfer/e-
1718,0.024347
1719,0.013605
1720,-0.127312
1721,0.054924
1722,-0.144162
1723,-0.051184
1724,-0.07429
1725,-0.025538
1726,-0.068622
1727,-0.038904
1728,-0.090188
1729,-0.036534
1730,0.128212
1731,0.023095
1732,0.034415
1733,0.032964
1734,0.077709
1735,0.057792
1736,-0.023791
1737,-0.111249
1738,0.033976
1739,0.161002
1740,0.054333
1741,0.168153
1742,0.176377
1743,0.139129
1744,-0.003086
1745,-0.147914
1746,0.042089
1747,-0.014151
1748,-0.039572
1749,0.01229
1750,0.076821
1751,0.07919
1752,-0.060051
1753,0.073031
1754,0.153351
1755,0.047082
1756,-0.053576
1757,-0.184249
1758,-0.090993
1759,-0.079016
1760,-0.092391
1761,0.05359
1762,-0.063153
1763,-0.060491
1764,0.032212
