,Gibbs free energy/eV
1450,-2.12811
1451,-2.29189
1452,-2.04261
1453,-1.43061
1454,-1.4639
1455,-3.07834
1456,-2.56409
1457,-1.79988
1458,-1.43047
1459,-2.66509
1460,-0.741933
1461,-1.11998
1462,-1.62872
1463,-1.57778
1464,-2.5823
1465,-2.36321
1466,-2.32991
1467,-2.52917
1468,-2.35113
1469,-1.44027
1470,-2.26095
1471,-0.841448
1472,-2.3281
1473,-1.6346
1474,-2.4573
1475,-1.81356
1476,-3.1246
1477,-2.16347
1478,-1.92504
1479,-2.50555
1480,-1.54235
1481,-2.28916
1482,-2.84138
1483,-1.98084
1484,-2.85853
1485,-2.96676
1486,-2.3897
1487,-2.17766
1488,-2.26539
1489,-2.52216
1490,-2.37244
1491,-2.57322
1492,-2.34351
1493,-1.98317
1494,-0.714268
1495,-2.56294
1496,-2.58738
1497,-2.81401
1498,-2.42534
1499,-2.37181
1500,-2.34394
1501,-2.56499
1502,-1.78175
1503,-2.1344
1504,-1.38455
1505,-2.54332
1506,-2.86384
1507,-2.38315
1508,-0.906655
1509,-2.83367
1510,-2.11894
1511,-2.25424
1512,-2.31951
1513,-2.3395
1514,-2.54824
1515,-2.5503
1516,-2.74767
1517,-3.3282
1518,-2.35947
1519,-3.10142
1520,-2.95084
1521,-2.8007
1522,-2.79697
1523,-2.40377
1524,-2.70048
1525,-2.32217
1526,-2.71628
1527,-2.40822
1528,-2.82872
1529,-1.23825
1530,-2.21724
1531,-2.11465
1532,-1.17117
1533,-2.64339
1534,-2.27245
1535,-1.42996
1536,-1.65168
1537,-2.35436
1538,-2.32094
1539,-2.81255
1540,-2.41449
1541,-2.49745
1542,-1.34028
1543,-2.20835
1544,-1.48339
1545,-2.23776
1546,-3.02244
1547,-2.5151
1548,-2.18784
1549,-2.5439
1550,-2.06896
1551,-1.67866
1552,-2.98611
1553,-2.06514
1554,-2.39969
1555,-2.25858
1556,-2.57953
1557,-2.22529
1558,-2.38988
1559,-3.02893
1560,-2.68123
1561,-1.27662
1562,-2.44576
1563,-1.48447
1564,-2.98468
1565,-1.94704
1566,-2.66407
1567,-1.48379
1568,-1.85431
1569,-2.46674
1570,-2.2293
1571,-2.56023
1572,-0.797948
1573,-2.4374
1574,-0.876481
1575,-2.29907
1576,-2.06912
1577,-2.06519
1578,-2.24139
1579,-2.24559
1580,-2.46348
1581,-2.57228
1582,-2.81842
1583,-2.11611
1584,-2.53624
1585,-2.97396
1586,-2.53919
1587,-2.29145
1588,-1.93759
1589,-2.46512
1590,-2.36189
1591,-1.91869
1592,-2.94826
1593,-2.22519
1594,-2.02582
1595,-2.56013
1596,-2.34774
1597,-2.48591
1598,-2.80346
1599,-2.07361
1600,-2.44609
1601,-0.876388
1602,-2.158
1603,-1.36066
1604,-1.13855
1605,-2.46272
1606,-1.77327
1607,-1.80373
1608,-1.1545
1609,-2.47961
1610,-2.0258
1611,-2.57073
1612,-2.50773
1613,-2.19199
1614,-2.73515
1615,-2.41814
1616,-2.07605
1617,-2.50634
1618,-2.53396
1619,-1.43119
1620,-2.57022
1621,-0.80281
1622,-2.54442
1623,-1.04977
1624,-2.43862
1625,-2.40346
1626,-2.47545
1627,-2.3352
1628,-2.8968
1629,-2.56706
1630,-2.86886
1631,-2.5466
1632,-2.97039
1633,-1.15669
1634,-3.00038
1635,-2.70663
1636,-2.83143
1637,-1.31253
1638,-2.34235
1639,-2.75367
1640,-2.53909
1641,-2.56174
1642,-1.43723
1643,-2.35789
1644,-1.83814
1645,-2.42442
1646,-1.73986
1647,-2.38599
1648,-2.4286
1649,-2.96759
1650,-1.14745
1651,-1.43236
1652,-1.65941
1653,-2.63186
1654,-2.91074
1655,-2.82824
1656,-2.31078
1657,-3.11803
1658,-2.57446
1659,-2.4909
